protein accession	sequence accession	genome accession	contig accession	pass all	category	hmm model	highest domain score
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i4.p1	pseudodiploria_symb_TRINITY_DN172781_c0_g1_i4.p1_with_leader_u39_PF00081_M_to_K04564_260			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.8
orbicella_symb_TRINITY_DN78611_c0_g1_i1.p1	orbicella_symb_TRINITY_DN78611_c0_g1_i1.p1_with_leader_u58_PF00081_M_to_K04564_282			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	448.8
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1	orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_to_K04564_236			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	238.0
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1	orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_to_K04564_147			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	106.9
orbicella_symb_TRINITY_DN188752_c0_g3_i1.p1	orbicella_symb_TRINITY_DN188752_c0_g3_i1.p1_to_K04564_260			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	457.4
orbicella_symb_TRINITY_DN188752_c0_g3_i4.p1	orbicella_symb_TRINITY_DN188752_c0_g3_i4.p1_to_K04564_258			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	456.3
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1	orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u60_PF00081_M_to_K04564_278			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	440.0
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1	orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u36_PF00081_M_to_K04564_278			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	440.5
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1	orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u31_PF00081_M_to_K04564_278			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	440.6
c_goreaui_TRINITY_DN626_c0_g1_i2.p1	c_goreaui_TRINITY_DN626_c0_g1_i2.p1_to_K04564_256			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	457.2
c_goreaui_TRINITY_DN626_c0_g1_i4.p1	c_goreaui_TRINITY_DN626_c0_g1_i4.p1_to_K04564_258			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	457.2
TRINITY_DN30502_c0_g1_i4.p1	TRINITY_DN30502_c0_g1_i4.p1_to_K04564_273			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.8
TRINITY_DN30502_c0_g1_i4.p1	TRINITY_DN30502_c0_g1_i4.p1_with_leader_u52_PF00081_M_to_K04564_273			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.1
TRINITY_DN30502_c0_g1_i4.p1	TRINITY_DN30502_c0_g1_i4.p1_with_leader_u38_PF00081_M_to_K04564_273			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.4
TRINITY_DN30502_c0_g1_i1.p1	TRINITY_DN30502_c0_g1_i1.p1_to_K04564_270			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.9
TRINITY_DN30502_c0_g1_i1.p1	TRINITY_DN30502_c0_g1_i1.p1_with_leader_u52_PF00081_M_to_K04564_270			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.1
TRINITY_DN30502_c0_g1_i1.p1	TRINITY_DN30502_c0_g1_i1.p1_with_leader_u38_PF00081_M_to_K04564_270			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.4
TRINITY_DN30502_c0_g1_i3.p1	TRINITY_DN30502_c0_g1_i3.p1_to_K04564_273			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.8
TRINITY_DN30502_c0_g1_i3.p1	TRINITY_DN30502_c0_g1_i3.p1_with_leader_u52_PF00081_M_to_K04564_273			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.1
TRINITY_DN30502_c0_g1_i3.p1	TRINITY_DN30502_c0_g1_i3.p1_with_leader_u38_PF00081_M_to_K04564_273			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.4
TRINITY_DN30502_c0_g1_i2.p1	TRINITY_DN30502_c0_g1_i2.p1_to_K04564_270			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.9
TRINITY_DN30502_c0_g1_i2.p1	TRINITY_DN30502_c0_g1_i2.p1_with_leader_u52_PF00081_M_to_K04564_270			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.1
TRINITY_DN30502_c0_g1_i2.p1	TRINITY_DN30502_c0_g1_i2.p1_with_leader_u38_PF00081_M_to_K04564_270			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.4
d_trenchii_TRINITY_DN533_c0_g1_i4.p1	d_trenchii_TRINITY_DN533_c0_g1_i4.p1_to_K04564_257			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.1
d_trenchii_TRINITY_DN533_c0_g1_i4.p1	d_trenchii_TRINITY_DN533_c0_g1_i4.p1_with_leader_u38_PF00081_M_to_K04564_257			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.4
d_trenchii_TRINITY_DN32906_c0_g1_i1.p1	d_trenchii_TRINITY_DN32906_c0_g1_i1.p1_to_K04564_249			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	221.9
evm.model.scf7180000353951.8_evm.model.scf7180000353951.9_evm.model.scf7180000353951.9.1.60e71e6c.1.60f65222	evm.model.scf7180000353951.8_evm.model.scf7180000353951.9_evm.model.scf7180000353951.9.1.60e71e6c.1.60f65222_to_K04564_2472			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	456.9
evm.model.scf7180000353951.10	evm.model.scf7180000353951.10_to_K04564_258			true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	456.3
evm.model.scf7180000356577.1	evm.model.scf7180000356577.1_with_leader_u43_PF00081_M_to_K04564_350			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	218.4
OLP79028.1	OLP79028.1_with_leader_u20_PF00081_M_to_K04564_1017	GCA_001939145.1	LSRX01001534.1	true	sp_algae	sp_MnFeSOD_algae_mature.hmm	431.5
BGNK01003376.1_K04564_a3776c6c	BGNK01003376.1_K04564_a3776c6c_with_leader_u31_PF00081_M_to_K04564_198	GCA_003297005.1	BGNK01003376.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	221.4
BGPT01000358.1_K04564_070be8c8	BGPT01000358.1_K04564_070be8c8_with_leader_u34_PF00081_M_to_K04564_203	GCA_003297045.1	BGPT01000358.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	241.2
CAE7445615.1	CAE7445615.1_to_K04564_242	GCA_905221605.1	CAJNDS010002352.1	true	sp_algae	sp_MnFeSOD_algae_mature.hmm	392.3
CAJNDS010002352.1_K04564_638e9d57	CAJNDS010002352.1_K04564_638e9d57_with_leader_u31_PF00081_M_to_K04564_176	GCA_905221605.1	CAJNDS010002352.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	285.1
CAL1167723.1	CAL1167723.1_with_leader_u21_PF00081_M_to_K04564_350	GCA_947184155.2	CAMXCT020006312.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	394.3
CAMXCT020000001.1_K04564_24b48a7d	CAMXCT020000001.1_K04564_24b48a7d_with_leader_u26_PF00081_M_to_K04564_208	GCA_947184155.2	CAMXCT020000001.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	217.4
CAK9047237.1	CAK9047237.1_with_leader_u27_PF00081_M_to_K04564_344	GCA_963969995.1	CAXAMM010020073.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	167.9
CAK9091470.1	CAK9091470.1_with_leader_u18_PF00081_M_to_K04564_868	GCA_963969995.1	CAXAMM010040162.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	240.8
CAK9100252.1	CAK9100252.1_to_K04564_230	GCA_963969995.1	CAXAMM010041596.1	true	sp_algae	sp_MnFeSOD_algae_mature.hmm	425.2
CAXAMM010020073.1_K04564_521e95f5	CAXAMM010020073.1_K04564_521e95f5_with_leader_u27_PF00081_M_to_K04564_197	GCA_963969995.1	CAXAMM010020073.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	163.5
CAXAMM010025685.1_K04564_b43539e3	CAXAMM010025685.1_K04564_b43539e3_with_leader_u30_PF00081_M_to_K04564_92	GCA_963969995.1	CAXAMM010025685.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	80.1
CAXAMM010040162.1_K04564_a70eaf5e	CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	241.0
CAXAMM010040162.1_K04564_f9608fa6	CAXAMM010040162.1_K04564_f9608fa6_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	241.0
CAXAMM010040173.1_K04564_1d3f7085	CAXAMM010040173.1_K04564_1d3f7085_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	241.0
CAXAMM010040173.1_K04564_b38f776c	CAXAMM010040173.1_K04564_b38f776c_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	241.0
CAK9032107.1	CAK9032107.1_to_K04564_230	GCA_963970005.1	CAXAMN010010569.1	true	sp_algae	sp_MnFeSOD_algae_mature.hmm	425.2
CAK9113181.1	CAK9113181.1_with_leader_u18_PF00081_M_to_K04564_257	GCA_963970005.1	CAXAMN010027806.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	240.9
CAK9113185.1	CAK9113185.1_with_leader_u35_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	240.4
CAK9113185.1	CAK9113185.1_with_leader_u21_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	240.7
CAK9113185.1	CAK9113185.1_with_leader_u18_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	240.8
CAXAMN010027783.1_K04564_0f8290bd	CAXAMN010027783.1_K04564_0f8290bd_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	241.0
CAXAMN010027783.1_K04564_a5ab1868	CAXAMN010027783.1_K04564_a5ab1868_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	241.0
CAXAMN010027806.1_K04564_b422a675	CAXAMN010027806.1_K04564_b422a675_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	241.0
CAXAMN010027806.1_K04564_f0a63ebd	CAXAMN010027806.1_K04564_f0a63ebd_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	241.0
OZ257276.1_K04564_ace37290	OZ257276.1_K04564_ace37290_with_leader_u31_PF00081_M_to_K04564_198	GCA_965279495.1	OZ257276.1	false	sp_algae	sp_MnFeSOD_algae_mature.hmm	221.4
siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1	siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1_to_K04564_227			true	sp_algae	sp_MnFeSOD_algae_mature.hmm	421.3
pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1	pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1_with_leader_u16_PF00081_M_to_K04564_250			true	sp_algae	sp_MnFeSOD_algae_mature.hmm	420.5
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1	orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_to_K04564_236			true	sp_algae	sp_MnFeSOD_algae_mature.hmm	432.5
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1	orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_with_leader_u20_PF00081_M_to_K04564_236			true	sp_algae	sp_MnFeSOD_algae_mature.hmm	432.6
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1	orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_to_K04564_147			false	sp_algae	sp_MnFeSOD_algae_mature.hmm	208.1
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1	orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_147			false	sp_algae	sp_MnFeSOD_algae_mature.hmm	208.5
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1	orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u31_PF00081_M_to_K04564_278			false	sp_algae	sp_MnFeSOD_algae_mature.hmm	242.0
TRINITY_DN30502_c0_g1_i4.p1	TRINITY_DN30502_c0_g1_i4.p1_with_leader_u18_PF00081_M_to_K04564_273			false	sp_algae	sp_MnFeSOD_algae_mature.hmm	240.9
TRINITY_DN30502_c0_g1_i1.p1	TRINITY_DN30502_c0_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_270			false	sp_algae	sp_MnFeSOD_algae_mature.hmm	240.9
TRINITY_DN30502_c0_g1_i3.p1	TRINITY_DN30502_c0_g1_i3.p1_with_leader_u18_PF00081_M_to_K04564_273			false	sp_algae	sp_MnFeSOD_algae_mature.hmm	240.9
TRINITY_DN30502_c0_g1_i2.p1	TRINITY_DN30502_c0_g1_i2.p1_with_leader_u18_PF00081_M_to_K04564_270			false	sp_algae	sp_MnFeSOD_algae_mature.hmm	240.9
d_trenchii_TRINITY_DN533_c0_g1_i4.p1	d_trenchii_TRINITY_DN533_c0_g1_i4.p1_with_leader_u18_PF00081_M_to_K04564_257			false	sp_algae	sp_MnFeSOD_algae_mature.hmm	240.9
d_trenchii_TRINITY_DN32906_c0_g1_i1.p1	d_trenchii_TRINITY_DN32906_c0_g1_i1.p1_with_leader_u21_PF00081_M_to_K04564_249			true	sp_algae	sp_MnFeSOD_algae_mature.hmm	425.2
evm.model.scf7180000356577.1	evm.model.scf7180000356577.1_with_leader_u21_PF00081_M_to_K04564_350			false	sp_algae	sp_MnFeSOD_algae_mature.hmm	394.3
