protein_accession	genome	compartment	KO	evalue	bitscore	bitscore_threshold	query_start	query_end	target_start	target_end	prot_len	leader_len	met_start	has_leader	KO_name
CAE7590873.1	GCA_905221605.1	mitochondrion	K00164	3.70E-297	989.3	1219.93	1757	2703	191	996	3111	1756	True	True	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
CAE7148725.1	GCA_905231915.1	mitochondrion	K27802	0	1537.0	1452.67	2	886	75	959	888	1	True	False	acnA; aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
CAE7216769.1	GCA_905231915.1	mitochondrion	K02115	1.60E-86	291.4	245.57	42	377	68	356	432	41	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAE7244313.1	GCA_905231915.1	mitochondrion	K00658	7.20E-178	594.0	455.03	2	432	74	456	433	1	True	False	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
CAE7366862.1	GCA_905231915.1	mitochondrion	K01647	1.60E-137	460.2	411.8	23	421	89	454	432	22	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAE7366873.1	GCA_905231915.1	mitochondrion	K00239	3.80E-232	772.8	612.9	2	544	63	585	775	1	True	False	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
CAE7413111.1	GCA_905231915.1	mitochondrion	K00026	3.20E-133	445.7	503.17	371	705	74	396	1256	370	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAE7438424.1	GCA_905231915.1	mitochondrion	K02115	7.30E-94	315.6	245.57	1	292	71	350	292	0	True	False	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAE7535686.1	GCA_905231915.1	mitochondrion	K01682	1.80E-221	738.1	585.67	39	525	5	487	525	38	True	True	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
CAE7764006.1	GCA_905231915.1	mitochondrion	K00026	1.40E-135	453.5	503.17	125	519	53	396	1045	124	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAE7831214.1	GCA_905231915.1	mitochondrion	K02132	4.80E-291	967.5	988.73	90	628	70	603	637	89	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAE7864999.1	GCA_905231915.1	mitochondrion	K00240	1.50E-65	222.0	161.57	12	274	41	272	279	11	True	False	sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
CAE7894424.1	GCA_905231915.1	mitochondrion	K02132	8.30E-291	966.7	988.73	183	728	68	606	1135	182	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAE7940695.1	GCA_905231915.1	mitochondrion	K01647	2.00E-125	420.3	411.8	63	460	94	463	486	62	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAE8584351.1	GCA_905237085.1	mitochondrion	K02132	1.20E-284	946.4	988.73	29	550	88	603	559	28	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAE8584641.1	GCA_905237085.1	mitochondrion	K00417	1.90E-15	57.9	42.43	434	575	27	151	605	433	False	True	QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7
CAE8585457.1	GCA_905237085.1	mitochondrion	K01647	1.80E-110	371.0	411.8	50	457	92	448	470	49	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAE8586644.1	GCA_905237085.1	mitochondrion	K02132	1.20E-284	946.4	988.73	29	550	88	603	559	28	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAE8587207.1	GCA_905237085.1	mitochondrion	K00234	0	1125.7	1154.5	26	633	136	758	884	25	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAE8587208.1	GCA_905237085.1	mitochondrion	K00234	0	1126.0	1154.5	26	623	136	749	623	25	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAE8587209.1	GCA_905237085.1	mitochondrion	K00234	0	1125.7	1154.5	36	632	137	749	632	35	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAE8593372.1	GCA_905237085.1	mitochondrion	K02115	9.60E-95	318.5	245.57	58	387	71	356	435	57	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAE8593373.1	GCA_905237085.1	mitochondrion	K02115	9.60E-95	318.5	245.57	58	387	71	356	435	57	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAE8594193.1	GCA_905237085.1	mitochondrion	K01647	1.10E-125	421.2	411.8	38	435	94	456	494	37	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAE8597421.1	GCA_905237085.1	mitochondrion	K00235	6.80E-147	491.0	469.43	282	566	60	344	781	281	True	True	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
CAE8599192.1	GCA_905237085.1	mitochondrion	K00164	0	1235.2	1219.93	7	991	66	991	1011	6	False	False	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
CAE8603501.1	GCA_905237085.1	mitochondrion	K00031	3.90E-53	181.6	76.4	71	610	90	546	1113	70	False	True	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
CAE8605742.1	GCA_905237085.1	mitochondrion	K02115	5.70E-94	315.9	245.57	46	394	61	356	442	45	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAE8606046.1	GCA_905237085.1	mitochondrion	K00026	3.10E-125	419.4	503.17	6	327	80	393	330	5	True	False	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAE8607616.1	GCA_905237085.1	mitochondrion	K00234	0	1127.7	1154.5	27	623	137	749	623	26	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAE8610151.1	GCA_905237085.1	mitochondrion	K01682	0	1237.7	585.67	35	770	5	735	799	34	True	True	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
CAE8611289.1	GCA_905237085.1	mitochondrion	K01647	1.00E-109	368.6	411.8	867	1333	72	448	1344	866	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAE8617090.1	GCA_905237085.1	mitochondrion	K00234	0	1127.2	1154.5	28	624	137	749	624	27	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAE8618239.1	GCA_905237085.1	mitochondrion	K00164	0	1236.8	1219.93	36	1022	64	991	1042	35	True	True	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
CAE8621441.1	GCA_905237085.1	mitochondrion	K00026	4.60E-129	432.0	503.17	67	406	62	390	412	66	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAE8622686.1	GCA_905237085.1	mitochondrion	K01647	1.10E-125	421.2	411.8	38	435	94	456	494	37	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAE8624445.1	GCA_905237085.1	mitochondrion	K02132	1.40E-284	946.1	988.73	13	535	87	603	544	12	False	False	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAE8626530.1	GCA_905237085.1	mitochondrion	K00026	2.50E-125	419.7	503.17	338	671	68	393	1883	337	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAE8627780.1	GCA_905237085.1	mitochondrion	K00658	5.40E-183	610.9	455.03	52	440	69	456	441	51	True	True	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
CAE8628551.1	GCA_905237085.1	mitochondrion	K00026	1.60E-128	430.3	503.17	7	324	80	387	332	6	True	False	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAE8628843.1	GCA_905237085.1	mitochondrion	K00026	1.20E-127	427.3	503.17	25	352	70	390	354	24	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAE8629657.1	GCA_905237085.1	mitochondrion	K00234	0	1126.1	1154.5	26	623	136	749	623	25	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAE8634113.1	GCA_905237085.1	mitochondrion	K02115	9.60E-95	318.5	245.57	58	387	71	356	435	57	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAE8634114.1	GCA_905237085.1	mitochondrion	K02115	9.60E-95	318.5	245.57	58	387	71	356	435	57	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAE8634115.1	GCA_905237085.1	mitochondrion	K02115	9.70E-95	318.5	245.57	58	387	71	356	435	57	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAE8634116.1	GCA_905237085.1	mitochondrion	K02115	9.60E-95	318.5	245.57	58	387	71	356	435	57	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAE8634536.1	GCA_905237085.1	mitochondrion	K01705	3.80E-272	907.0	508.07	683	1364	46	753	1365	682	True	True	LYS4; homoaconitate hydratase [EC:4.2.1.36]
CAE8636868.1	GCA_905237085.1	mitochondrion	K01682	0	1356.4	585.67	2	838	30	844	841	1	False	False	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
CAE8637675.1	GCA_905237085.1	mitochondrion	K00234	0	1125.8	1154.5	55	652	136	749	652	54	False	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAE8637694.1	GCA_905237085.1	mitochondrion	K02132	1.70E-277	922.7	988.73	12	500	116	603	509	11	True	False	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAE8637888.1	GCA_905237085.1	mitochondrion	K01647	2.40E-128	430.0	411.8	38	455	95	465	489	37	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAE8641799.1	GCA_905237085.1	mitochondrion	K02114	7.10E-25	88.5	93.63	53	223	30	207	230	52	True	True	ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon
CAE8643503.1	GCA_905237085.1	mitochondrion	K02132	3.00E-284	945.0	988.73	15	549	75	603	558	14	True	False	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAL1124885.1	GCA_947184155.2	mitochondrion	K01647	4.20E-132	442.4	411.8	727	1168	58	454	1179	726	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAL1124936.1	GCA_947184155.2	mitochondrion	K00239	9.40E-198	659.2	612.9	254	842	58	602	1881	253	True	True	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
CAL1125029.1	GCA_947184155.2	mitochondrion	K00239	1.40E-202	675.2	612.9	255	801	100	612	1038	254	True	True	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
CAL1125524.1	GCA_947184155.2	mitochondrion	K27802	0	1527.9	1452.67	7	904	75	957	977	6	True	False	acnA; aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
CAL1132654.1	GCA_947184155.2	mitochondrion	K02132	1.70E-289	962.4	988.73	16	539	87	604	547	15	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAL1133237.1	GCA_947184155.2	mitochondrion	K02132	8.50E-271	900.6	988.73	23	566	85	579	587	22	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAL1134270.1	GCA_947184155.2	mitochondrion	K00234	1.80E-300	999.5	1154.5	26	529	129	633	539	25	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAL1134569.1	GCA_947184155.2	mitochondrion	K00234	0	1130.0	1154.5	30	630	133	749	630	29	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAL1135924.1	GCA_947184155.2	mitochondrion	K01647	3.00E-126	423.1	411.8	31	444	95	465	555	30	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAL1140950.1	GCA_947184155.2	mitochondrion	K02115	2.00E-87	294.4	245.57	47	463	75	374	960	46	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAL1143282.1	GCA_947184155.2	mitochondrion	K01682	0	1430.4	585.67	7	861	4	847	871	6	True	False	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
CAL1143768.1	GCA_947184155.2	mitochondrion	K01647	1.00E-108	365.2	411.8	867	1395	52	449	1420	866	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAL1145937.1	GCA_947184155.2	mitochondrion	K00234	0	1130.0	1154.5	39	640	132	749	640	38	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAL1151264.1	GCA_947184155.2	mitochondrion	K00164	0	1254.2	1219.93	867	1865	62	992	1884	866	True	True	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
CAL1154393.1	GCA_947184155.2	mitochondrion	K00413	3.10E-37	129.3	44.57	492	664	40	206	1317	491	True	True	CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit
CAL1163110.1	GCA_947184155.2	mitochondrion	K00164	0	1041.4	1219.93	33	1010	123	984	1525	32	True	True	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
CAL1164183.1	GCA_947184155.2	mitochondrion	K00026	3.50E-130	435.7	503.17	19	338	80	391	342	18	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAL1164991.1	GCA_947184155.2	mitochondrion	K00026	6.50E-128	428.2	503.17	25	340	70	380	869	24	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAL1174009.1	GCA_947184155.2	mitochondrion	K00026	1.50E-132	443.5	503.17	1685	2020	75	392	2024	1684	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAK8994691.1	GCA_963969995.1	mitochondrion	K18159	1.50E-33	116.7	78.4	316	563	35	246	579	315	False	True	NDUFAF1, CIA30; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1
CAK9012343.1	GCA_963969995.1	mitochondrion	K01647	3.60E-109	366.7	411.8	32	443	91	448	454	31	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAK9012345.1	GCA_963969995.1	mitochondrion	K01647	3.30E-109	366.9	411.8	32	443	91	448	455	31	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAK9015398.1	GCA_963969995.1	mitochondrion	K00234	0	1133.2	1154.5	21	624	130	749	624	20	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAK9019221.1	GCA_963969995.1	mitochondrion	K00234	0	1139.4	1154.5	22	627	128	749	627	21	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAK9019282.1	GCA_963969995.1	mitochondrion	K00234	0	1139.4	1154.5	22	627	128	749	627	21	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAK9019393.1	GCA_963969995.1	mitochondrion	K00240	1.70E-58	198.8	161.57	1	240	40	265	248	0	True	False	sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
CAK9019952.1	GCA_963969995.1	mitochondrion	K00239	1.40E-197	658.6	612.9	254	836	58	597	1081	253	True	True	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
CAK9020019.1	GCA_963969995.1	mitochondrion	K00239	1.40E-197	658.6	612.9	254	836	58	597	1081	253	True	True	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
CAK9023442.1	GCA_963969995.1	mitochondrion	K00239	1.40E-197	658.6	612.9	254	836	58	597	1081	253	True	True	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
CAK9023444.1	GCA_963969995.1	mitochondrion	K00239	1.40E-197	658.6	612.9	254	836	58	597	1081	253	True	True	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
CAK9023445.1	GCA_963969995.1	mitochondrion	K00240	1.70E-58	198.8	161.57	1	240	40	265	248	0	True	False	sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
CAK9023446.1	GCA_963969995.1	mitochondrion	K00240	1.70E-58	198.8	161.57	1	240	40	265	248	0	True	False	sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
CAK9029770.1	GCA_963969995.1	mitochondrion	K00658	2.50E-175	585.6	455.03	49	430	77	456	431	48	False	True	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
CAK9037431.1	GCA_963969995.1	mitochondrion	K01647	4.40E-127	425.8	411.8	10	424	77	455	432	9	True	False	CS, gltA; citrate synthase [EC:2.3.3.1]
CAK9039425.1	GCA_963969995.1	mitochondrion	K00164	0	1361.5	1219.93	17	984	64	991	985	16	True	True	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
CAK9039427.1	GCA_963969995.1	mitochondrion	K00658	1.70E-189	632.4	455.03	104	497	76	456	498	103	True	True	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
CAK9041929.1	GCA_963969995.1	mitochondrion	K00164	0	1361.5	1219.93	17	984	64	991	985	16	True	True	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
CAK9041931.1	GCA_963969995.1	mitochondrion	K00658	1.70E-189	632.4	455.03	104	497	76	456	498	103	True	True	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
CAK9081987.1	GCA_963969995.1	mitochondrion	K01682	0	1448.0	585.67	34	879	5	847	889	33	True	True	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
CAK9086843.1	GCA_963969995.1	mitochondrion	K02132	8.90E-284	943.5	988.73	1688	2184	97	584	2210	1687	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAK9090438.1	GCA_963969995.1	mitochondrion	K00240	1.70E-58	198.8	161.57	1	240	40	265	248	0	True	False	sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
CAK9092010.1	GCA_963969995.1	mitochondrion	K01647	3.60E-109	366.7	411.8	32	443	91	448	454	31	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAK9093426.1	GCA_963969995.1	mitochondrion	K01647	6.80E-129	431.8	411.8	45	439	94	461	468	44	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAK9102099.1	GCA_963969995.1	mitochondrion	K00026	3.40E-135	452.2	503.17	49	417	28	392	421	48	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAK9102358.1	GCA_963969995.1	mitochondrion	K02132	3.40E-291	968.0	988.73	22	543	88	603	552	21	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAK9102649.1	GCA_963969995.1	mitochondrion	K02132	3.10E-268	892.1	988.73	57	596	94	580	609	56	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAK9109149.1	GCA_963969995.1	mitochondrion	K02115	7.30E-88	295.8	245.57	23	382	57	357	995	22	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAK9109567.1	GCA_963969995.1	mitochondrion	K00239	1.40E-197	658.6	612.9	254	836	58	597	1081	253	True	True	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
CAK9109573.1	GCA_963969995.1	mitochondrion	K00239	1.40E-197	658.6	612.9	254	836	58	597	1081	253	True	True	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
CAK9109578.1	GCA_963969995.1	mitochondrion	K00240	1.70E-58	198.8	161.57	1	240	40	265	248	0	True	False	sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
CAK9113535.1	GCA_963969995.1	mitochondrion	K00239	1.40E-197	658.6	612.9	254	836	58	597	1081	253	True	True	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
CAK8989595.1	GCA_963970005.1	mitochondrion	K00234	0	1133.2	1154.5	21	624	130	749	624	20	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAK8989596.1	GCA_963970005.1	mitochondrion	K00234	0	1114.0	1154.5	21	646	130	749	646	20	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAK9009462.1	GCA_963970005.1	mitochondrion	K01647	5.70E-111	372.7	411.8	627	1125	77	458	1291	626	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAK9013758.1	GCA_963970005.1	mitochondrion	K02132	6.60E-289	960.4	988.73	181	697	88	603	706	180	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAK9021910.1	GCA_963970005.1	mitochondrion	K00026	4.60E-127	425.4	503.17	5	347	80	396	624	4	True	False	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAK9022845.1	GCA_963970005.1	mitochondrion	K00026	6.90E-134	447.9	503.17	49	379	70	392	382	48	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAK9026145.1	GCA_963970005.1	mitochondrion	K00026	5.30E-126	421.9	503.17	19	338	80	391	343	18	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAK9043536.1	GCA_963970005.1	mitochondrion	K00234	0	1139.4	1154.5	22	627	128	749	627	21	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAK9048657.1	GCA_963970005.1	mitochondrion	K00164	0	1052.3	1219.93	86	1071	123	994	1073	85	True	True	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
CAK9048995.1	GCA_963970005.1	mitochondrion	K02115	2.20E-87	294.3	245.57	23	373	57	356	2535	22	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAK9049002.1	GCA_963970005.1	mitochondrion	K02115	4.80E-87	293.1	245.57	23	373	57	356	2837	22	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAK9058823.1	GCA_963970005.1	mitochondrion	K00164	0	1170.4	1219.93	23	939	62	930	986	22	True	True	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
CAK9058825.1	GCA_963970005.1	mitochondrion	K00164	0	1250.9	1219.93	23	1017	62	994	1034	22	True	True	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
CAK9058997.1	GCA_963970005.1	mitochondrion	K00164	0	1170.6	1219.93	23	939	62	930	986	22	True	True	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
CAK9064171.1	GCA_963970005.1	mitochondrion	K02132	3.40E-291	968.0	988.73	22	543	88	603	552	21	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAK9078540.1	GCA_963970005.1	mitochondrion	K01682	0	1452.1	585.67	34	879	5	847	889	33	True	True	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
CAK9100491.1	GCA_963970005.1	mitochondrion	K02115	2.20E-88	297.6	245.57	50	376	73	356	428	49	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
CAK9106441.1	GCA_963970005.1	mitochondrion	K01647	6.80E-129	431.8	411.8	45	439	94	461	468	44	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAK9112254.1	GCA_963970005.1	mitochondrion	K00026	1.50E-134	450.1	503.17	23	352	69	392	353	22	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
OLP86809.1	GCA_001939145.1	peroxisome	K00232	5.20E-199	664.0	161.63	139	788	53	690	1768	138	True	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
OLP94460.1	GCA_001939145.1	peroxisome	K00273	6.80E-50	171.0	129.4	4	364	31	354	364	3	True	False	DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]
OLQ03591.1	GCA_001939145.1	peroxisome	K00232	4.90E-57	194.4	161.63	114	592	115	590	613	113	True	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAE7299335.1	GCA_905221605.1	peroxisome	K00273	8.80E-78	262.9	129.4	6	439	35	396	546	5	True	False	DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]
CAE7321387.1	GCA_905221605.1	peroxisome	K00273	9.10E-39	134.3	129.4	2	316	34	287	1699	1	True	False	DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]
CAE7266324.1	GCA_905231915.1	peroxisome	K00273	9.40E-63	213.4	129.4	4	389	31	354	389	3	True	False	DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]
CAE8585568.1	GCA_905237085.1	peroxisome	K00232	2.10E-140	470.2	161.63	31	654	55	668	1278	30	True	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAE8592492.1	GCA_905237085.1	peroxisome	K00232	1.00E-168	563.8	161.63	782	1534	49	737	2845	781	False	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAE8601752.1	GCA_905237085.1	peroxisome	K00232	4.80E-150	502.0	161.63	4	667	92	696	689	3	True	False	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAE8604966.1	GCA_905237085.1	peroxisome	K00232	1.10E-158	530.5	161.63	10	718	52	696	742	9	True	False	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAE8610471.1	GCA_905237085.1	peroxisome	K00232	5.40E-141	472.1	161.63	31	653	55	668	710	30	True	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAE8615010.1	GCA_905237085.1	peroxisome	K00232	9.60E-150	501.0	161.63	3	657	91	694	688	2	True	False	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAL1126741.1	GCA_947184155.2	peroxisome	K00232	1.90E-200	668.7	161.63	2429	3172	60	704	5043	2428	True	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAK9007415.1	GCA_963969995.1	peroxisome	K00232	7.50E-58	197.1	161.63	118	612	94	589	633	117	False	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAK9016961.1	GCA_963969995.1	peroxisome	K00232	1.00E-64	219.8	161.63	22	478	107	582	489	21	True	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAK9039316.1	GCA_963969995.1	peroxisome	K03781	4.20E-199	664.1	80.17	85	561	97	562	580	84	True	True	katE, CAT, catB, srpA; catalase [EC:1.11.1.6]
CAK9041836.1	GCA_963969995.1	peroxisome	K03781	4.20E-199	664.1	80.17	85	561	97	562	580	84	True	True	katE, CAT, catB, srpA; catalase [EC:1.11.1.6]
