model	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K11787	1139.17	full	all	0.982376	926	920	5728	1053	1.34	0.590	phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 2.1.2.2 6.3.3.1]
K11788	1138.50	domain	trim	0.946446	189	184	1729	836	0.87	0.590	phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1]
K11789	199.23	domain	trim	0.998214	1179	1117	10089	1448	3.03	0.590	DDB1- and CUL4-associated factor 1 [EC:2.7.11.1]
K11790	328.63	domain	all	0.883029	1096	1054	5916	754	5.57	0.590	denticleless
K11791	158.00	full	all	0.988669	635	610	4093	692	4.46	0.590	DDB1- and CUL4-associated factor 15
K11792	36.50	full	all	1.000000	1143	736	986	172	5.38	0.590	DET1- and DDB1-associated protein 1
K11793	135.87	domain	all	1.000000	1064	985	3633	512	3.93	0.590	cereblon
K11794	266.47	full	all	1.000000	162	42	205	131	0.45	0.587	IFRG15 protein
K11795	290.40	domain	all	0.985507	806	794	5348	887	2.79	0.590	DDB1- and CUL4-associated factor 6
K11796	284.40	full	all	1.000000	627	576	2682	904	2.22	0.590	Trpc4-associated protein
K11797	1516.00	full	trim	0.979715	847	805	5508	1807	1.59	0.589	PH-interacting protein
K11798	2479.63	full	all	0.789366	1275	1253	15894	2157	3.96	0.590	bromodomain and WD repeat domain containing protein 1/3
K11799	116.43	domain	all	0.990837	855	822	3441	543	6.80	0.590	DDB1- and CUL4-associated factor 4
K11800	217.53	domain	all	0.995358	772	752	4951	849	3.29	0.590	DDB1- and CUL4-associated factor 5
K11801	153.93	domain	all	0.999560	1217	1136	5553	612	3.46	0.590	DDB1- and CUL4-associated factor 11
K11802	161.90	domain	all	1.000000	785	751	3163	485	1.79	0.590	DDB1- and CUL4-associated factor 10
K11803	148.80	full	all	1.000000	1209	1057	2884	560	3.67	0.590	DDB1- and CUL4-associated factor 12
K11804	336.10	domain	all	0.978382	1442	1340	5908	722	4.85	0.590	DDB1- and CUL4-associated factor 8
K11805	157.87	domain	all	0.996429	1721	1122	3453	492	3.05	0.590	DDB1- and CUL4-associated factor 7
K11806	152.83	domain	trim	0.999242	1405	1317	4135	673	5.24	0.590	DDB1- and CUL4-associated factor 13
K11807	422.60	full	all	0.987362	1040	916	4992	838	2.85	0.590	WD and tetratricopeptide repeats protein 1
K11808	617.87	full	trim	0.990898	452	443	2624	692	1.31	0.590	phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]
K11809	1047.10	full	all	0.976484	466	437	1646	620	0.72	0.590	glucose-1,6-bisphosphate synthase [EC:2.7.1.106]
K11810	524.97	full	all	0.566183	1466	1435	6093	666	9.30	0.590	MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 12
K11811	116.57	full	all	0.998474	1885	1640	1070	423	2.26	0.590	arsenical resistance protein ArsH
K11812	1202.03	full	all	0.894118	33	27	574	541	0.52	0.593	tryptophan N-monooxygenase [EC:1.14.14.156]
K11813	1227.50	full	all	0.869048	13	13	572	542	0.51	0.591	tryptophan N-monooxygenase [EC:1.14.14.156]
K11814	151.73	full	all	0.737346	120	72	118	104	0.75	0.588	multidrug resistance protein EbrA
K11815	158.43	full	trim	0.803416	168	122	186	116	0.98	0.590	multidrug resistance protein EbrB
K11816	316.03	full	all	0.990718	2601	2485	4272	552	2.73	0.590	indole-3-pyruvate monooxygenase [EC:1.14.13.168]
K11817	2426.83	domain	all	0.814157	123	120	1752	1361	0.65	0.592	indole-3-acetaldehyde oxidase [EC:1.2.3.7]
K11818	1009.67	full	all	0.962963	14	14	512	499	0.46	0.589	aromatic aldoxime N-monooxygenase [EC:1.14.14.45]
K11819	938.77	full	all	0.962963	15	15	497	456	0.49	0.594	S-alkyl-thiohydroximate lyase SUR1 [EC:4.4.1.-]
K11820	693.83	domain	trim	0.927854	237	220	718	460	0.90	0.590	N-hydroxythioamide S-beta-glucosyltransferase [EC:2.4.1.195]
K11821	780.27	full	all	1.000000	16	15	386	337	0.40	0.593	aromatic desulfoglucosinolate sulfotransferase [EC:2.8.2.24]
K11822	436.47	domain	all	0.857374	438	423	1022	345	3.27	0.590	bile-salt sulfotransferase [EC:2.8.2.14]
K11823	316.60	domain	all	0.933605	560	402	1829	399	2.39	0.590	sulfotransferase 4A1 [EC:2.8.2.-]
K11824	507.13	full	all	0.993774	1741	1617	7733	1014	3.61	0.590	AP-2 complex subunit alpha
K11825	1365.03	domain	all	0.683995	733	554	2325	826	1.85	0.590	AP-2 complex subunit beta-1
K11826	544.23	domain	all	0.949511	1481	895	2812	615	3.33	0.590	AP-2 complex subunit mu-1
K11827	221.67	domain	all	0.876880	1324	533	1208	223	2.25	0.590	AP-2 complex subunit sigma-1
K11828	1456.03	full	trim	0.913512	524	452	3350	966	0.93	0.591	discs large protein 4
K11829	731.47	full	trim	0.989126	483	416	1562	521	0.86	0.590	REST corepressor 1
K11830	116.63	domain	all	0.980978	841	795	1837	350	7.20	0.590	transcription factor A, mitochondrial
K11831	234.93	full	all	0.996311	830	677	3857	572	1.91	0.590	nuclear respiratory factor 1
K11832	268.03	domain	all	0.989453	736	716	5315	762	3.57	0.590	ubiquitin carboxyl-terminal hydrolase 1 [EC:3.4.19.12]
K11833	567.97	full	all	0.928930	1004	971	5848	743	4.82	0.590	ubiquitin carboxyl-terminal hydrolase 2 [EC:3.4.19.12]
K11834	386.13	domain	all	0.997986	1048	996	3677	753	1.30	0.589	ubiquitin carboxyl-terminal hydrolase 44/49 [EC:3.4.19.12]
K11835	1274.57	full	all	0.763863	1164	1133	10315	1032	3.77	0.590	ubiquitin carboxyl-terminal hydrolase 4/11 [EC:3.4.19.12]
K11836	285.43	full	all	0.998241	1828	1705	6046	990	3.35	0.590	ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.4.19.12]
K11837	694.73	full	all	0.998061	787	775	9380	1518	1.56	0.589	ubiquitin carboxyl-terminal hydrolase 6/32 [EC:3.4.19.12]
K11838	305.27	domain	all	0.984423	1982	1776	13377	1149	5.55	0.590	ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12]
K11839	501.40	domain	all	0.947485	893	880	7388	1483	5.17	0.590	ubiquitin carboxyl-terminal hydrolase 8 [EC:3.4.19.12]
K11840	1193.70	domain	all	0.996430	1492	1406	13709	2579	2.36	0.590	ubiquitin carboxyl-terminal hydrolase 9/24 [EC:3.4.19.12]
K11841	203.33	domain	trim	0.990234	1313	1289	8560	768	5.66	0.590	ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]
K11842	524.10	full	all	0.958511	2140	1447	4172	524	3.19	0.590	ubiquitin carboxyl-terminal hydrolase 12/46 [EC:3.4.19.12]
K11843	197.33	domain	all	0.996357	1358	1240	3607	644	4.21	0.590	ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12]
K11844	366.13	full	all	0.983306	1604	1581	11358	857	4.51	0.590	ubiquitin carboxyl-terminal hydrolase 16/45 [EC:3.4.19.12]
K11845	621.47	full	all	0.977461	541	408	3036	770	2.39	0.590	ubiquitin carboxyl-terminal hydrolase 17 [EC:3.4.19.12]
K11846	295.47	domain	all	0.973898	546	514	1862	483	3.85	0.590	ubiquitin carboxyl-terminal hydrolase 18/41 [EC:3.4.19.12]
K11847	802.30	full	all	0.987769	580	573	6696	1258	1.92	0.590	ubiquitin carboxyl-terminal hydrolase 19 [EC:3.4.19.12]
K11848	266.67	domain	all	0.996873	1332	1277	6812	930	2.79	0.590	ubiquitin carboxyl-terminal hydrolase 20/33 [EC:3.4.19.12]
K11849	1009.97	full	all	0.733176	801	783	7670	993	5.62	0.590	ubiquitin carboxyl-terminal hydrolase 25 [EC:3.4.19.12]
K11850	244.23	full	trim	0.985488	822	791	4748	945	6.34	0.590	ubiquitin carboxyl-terminal hydrolase 26/29/37 [EC:3.4.19.12]
K11851	269.80	full	all	0.972998	1006	965	4038	473	3.20	0.590	ubiquitin carboxyl-terminal hydrolase 30 [EC:3.4.19.12]
K11852	1039.27	full	all	0.892605	869	855	6060	1074	2.32	0.590	ubiquitin carboxyl-terminal hydrolase 31 [EC:3.4.19.12]
K11853	827.87	full	all	0.987031	874	860	17678	3173	3.28	0.590	ubiquitin carboxyl-terminal hydrolase 34 [EC:3.4.19.12]
K11854	279.80	domain	all	0.995870	1108	1090	6840	1010	5.23	0.590	ubiquitin carboxyl-terminal hydrolase 35/38 [EC:3.4.19.12]
K11855	462.87	full	all	0.848179	3185	3133	16266	724	5.70	0.590	ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12]
K11856	1227.93	full	all	0.955163	608	607	4706	1190	2.01	0.589	ubiquitin carboxyl-terminal hydrolase 43 [EC:3.4.19.12]
K11857	416.33	full	all	0.995380	788	760	9167	1282	2.72	0.590	ubiquitin carboxyl-terminal hydrolase 47 [EC:3.4.19.12]
K11858	426.20	domain	trim	0.991453	741	702	6951	1155	2.96	0.590	ubiquitin carboxyl-terminal hydrolase 48 [EC:3.4.19.12]
K11859	382.30	full	all	0.992832	574	562	4284	898	4.11	0.590	tumor necrosis factor, alpha-induced protein 3 [EC:3.4.19.12]
K11860	303.97	domain	all	0.995709	1215	1172	5989	874	2.54	0.591	OTU domain-containing protein 7 [EC:3.4.19.12]
K11861	524.80	full	all	1.000000	588	557	3527	1185	1.86	0.590	deubiquitinating protein VCIP135 [EC:3.4.19.12]
K11862	338.17	full	all	0.998826	958	850	4060	739	1.74	0.590	ubiquitin thioesterase ZRANB1 [EC:3.4.19.12]
K11863	105.53	full	all	0.989878	1098	1033	3441	391	4.16	0.590	Ataxin-3 [EC:3.4.22.-]
K11864	124.73	full	all	0.998224	1027	843	1860	423	3.23	0.590	BRCA1/BRCA2-containing complex subunit 3 [EC:3.4.19.-]
K11865	310.57	full	all	1.000000	591	581	4674	867	2.37	0.590	histone H2A deubiquitinase [EC:3.4.19.-]
K11866	483.23	full	all	0.741098	1610	1544	4418	506	4.67	0.590	STAM-binding protein [EC:3.4.19.12]
K11867	720.80	full	all	0.992121	479	448	1764	717	1.16	0.591	AMSH-like protease [EC:3.4.19.12]
K11868	1025.10	full	all	1.000000	24	24	539	503	0.46	0.588	indoleacetaldoxime dehydratase [EC:4.8.1.3]
K11869	371.90	domain	trim	0.998158	545	543	4627	1318	2.50	0.590	ubiquitin carboxyl-terminal hydrolase 40 [EC:3.4.19.12]
K11870	319.97	full	all	0.984042	189	187	3167	808	3.85	0.590	ubiquitin carboxyl-terminal hydrolase 1 [EC:3.4.19.12]
K11871	345.97	domain	all	1.000000	46	46	2768	898	2.02	0.590	ubiquitin carboxyl-terminal hydrolase 7/11 [EC:3.4.19.12]
K11872	552.30	full	trim	0.923610	186	184	3943	727	2.38	0.590	ubiquitin carboxyl-terminal hydrolase 9/13 [EC:3.4.19.12]
K11873	432.53	full	all	0.976190	43	43	1687	646	1.73	0.590	ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]
K11874	358.53	full	all	0.992337	134	132	1936	690	2.82	0.590	ubiquitin carboxyl-terminal hydrolase 16 [EC:3.4.19.12]
K11875	63.83	full	all	0.997251	758	727	1321	401	5.53	0.590	proteasome assembly chaperone 1
K11876	158.57	full	all	0.978844	1050	983	1608	348	5.55	0.590	proteasome assembly chaperone 2
K11877	46.10	full	all	0.999360	909	780	944	202	6.95	0.590	proteasome assembly chaperone 3
K11878	33.67	full	all	0.992620	895	807	1231	203	7.23	0.590	proteasome assembly chaperone 4
K11879	103.60	full	all	1.000000	39	39	573	283	2.79	0.590	proteasome chaperone 1
K11880	208.70	full	all	0.975309	43	43	496	281	1.83	0.590	proteasome chaperone 2
K11881	85.83	full	all	1.000000	35	35	217	159	2.09	0.590	proteasome chaperone 3
K11882	80.20	full	all	1.000000	19	19	216	140	1.60	0.590	proteasome chaperone 4
K11883	144.57	full	all	0.995659	1289	1267	4293	528	4.63	0.590	RNA-binding protein NOB1
K11884	102.77	full	trim	0.998451	1413	1290	1298	302	2.45	0.590	RNA-binding protein PNO1
K11885	78.47	domain	all	0.984981	1402	1354	4349	530	4.12	0.590	DNA damage-inducible protein 1
K11886	341.17	full	all	0.999115	1141	1128	11273	1934	4.62	0.590	proteasome component ECM29
K11887	136.60	domain	all	0.995262	556	531	1877	460	5.34	0.590	proteasomal ATPase-associated factor 1
K11888	193.33	full	all	0.977609	137	131	799	318	2.78	0.590	protein Cut8
K11889	334.50	full	all	1.000000	30	30	331	302	1.10	0.591	type VI secretion system protein ImpN [EC:2.7.11.1]
K11890	54.20	full	all	0.991786	1339	1098	1977	331	10.70	0.590	type VI secretion system protein ImpM
K11891	129.93	full	all	0.987123	3208	2802	8024	1538	12.07	0.590	type VI secretion system protein ImpL
K11892	125.03	domain	all	0.907871	3344	2596	2492	426	14.01	0.590	type VI secretion system protein ImpK
K11893	124.17	full	trim	0.998147	3095	2413	2137	722	5.56	0.590	type VI secretion system protein ImpJ
K11894	290.13	domain	trim	0.821438	635	528	1382	496	9.62	0.590	type VI secretion system protein ImpI
K11895	73.57	full	all	0.995419	3089	2499	2947	454	10.24	0.590	type VI secretion system protein ImpH
K11896	129.13	full	all	1.000000	3355	2765	3513	769	7.24	0.590	type VI secretion system protein ImpG
K11897	97.47	full	all	0.933176	1774	1268	967	225	8.46	0.590	type VI secretion system protein ImpF
K11898	110.53	full	all	1.000000	759	614	592	288	4.55	0.590	type VI secretion system protein ImpE
K11899	566.60	full	all	0.800663	204	197	802	490	2.07	0.590	type VI secretion system protein ImpD
K11900	537.10	domain	all	0.977303	3174	2300	2387	620	3.94	0.590	type VI secretion system protein ImpC
K11901	135.97	domain	all	0.980900	3133	2102	649	246	5.54	0.590	type VI secretion system protein ImpB
K11902	124.20	domain	all	0.997078	1880	1543	2467	430	12.43	0.590	type VI secretion system protein ImpA
K11903	95.80	full	all	0.960084	4461	2889	1136	228	14.48	0.590	type VI secretion system secreted protein Hcp
K11904	66.80	full	all	0.998928	6855	6067	18515	966	13.95	0.590	type VI secretion system secreted protein VgrG
K11905	86.90	domain	trim	0.980761	1166	846	401	187	7.31	0.590	type VI secretion system protein
K11906	41.07	full	all	0.998589	2386	1771	1476	287	14.38	0.590	type VI secretion system protein VasD
K11907	1005.17	full	all	0.994333	2794	2393	2650	982	1.78	0.589	type VI secretion system protein VasG
K11908	463.53	full	all	0.983298	172	153	883	514	2.06	0.589	sigma-54 dependent transcriptional regulator
K11909	119.70	full	all	0.994264	340	260	503	224	2.91	0.590	type VI secretion system protein VasI
K11910	210.77	domain	all	0.974890	1090	921	2361	1132	4.63	0.590	type VI secretion system protein VasJ
K11911	122.30	domain	all	0.994641	613	468	1043	465	6.10	0.590	type VI secretion system protein VasL
K11912	277.33	full	all	0.994536	298	279	1775	696	3.59	0.590	serine/threonine-protein kinase PpkA [EC:2.7.11.1]
K11913	346.90	full	all	0.850283	349	336	1659	461	6.18	0.590	type VI secretion system protein
K11914	506.53	full	all	0.997151	189	177	699	506	1.20	0.590	sigma-54 dependent transcriptional regulator
K11915	276.13	domain	all	0.934889	370	303	407	239	1.67	0.590	serine/threonine protein phosphatase Stp1 [EC:3.1.3.16]
K11916	264.67	domain	all	0.979864	164	147	467	318	1.57	0.589	serine/threonine-protein kinase Stk1 [EC:2.7.11.-]
K11917	727.23	full	all	1.000000	29	14	387	356	0.46	0.590	sigma-54 dependent transcriptional regulator
K11918	88.40	full	all	1.000000	151	130	386	193	3.41	0.590	type VI secretion system protein
K11919	135.07	full	all	0.990991	73	56	168	148	1.28	0.590	type VI secretion system lysozyme-related protein
K11920	404.97	full	trim	0.776557	62	24	327	254	1.13	0.591	AraC family transcriptional regulator
K11921	260.67	domain	all	0.920290	1021	849	847	329	4.38	0.590	LysR family transcriptional regulator, cyn operon transcriptional activator
K11922	253.70	full	all	0.863864	269	206	426	237	3.69	0.590	GntR family transcriptional regulator, mannosyl-D-glycerate transport/metabolism system repressor
K11923	96.40	full	trim	0.968334	412	301	267	144	2.19	0.590	MerR family transcriptional regulator, copper efflux regulator
K11924	154.77	domain	trim	0.949167	1871	1322	486	238	5.18	0.590	DtxR family transcriptional regulator, manganese transport regulator
K11925	285.83	domain	all	1.000000	902	677	1054	568	3.69	0.590	SgrR family transcriptional regulator
K11926	113.63	full	all	0.998839	742	431	171	133	1.18	0.591	sigma factor-binding protein Crl
K11927	541.17	domain	all	0.889287	8217	7402	5048	534	2.52	0.590	ATP-dependent RNA helicase RhlE [EC:5.6.2.7]
K11928	652.63	domain	all	0.731464	3411	2815	2121	581	5.97	0.590	sodium/proline symporter
K11929	508.50	full	trim	0.873369	537	318	710	353	3.08	0.589	outer membrane pore protein E
K11930	259.00	full	all	0.998650	489	371	850	398	3.41	0.590	periplasmic protein TorT
K11931	190.13	full	all	0.990505	831	689	1724	699	6.90	0.590	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]
K11932	157.20	full	trim	0.882164	786	423	277	143	2.22	0.590	universal stress protein G
K11933	370.97	full	trim	0.986144	729	548	659	343	1.77	0.591	NADH oxidoreductase Hcr [EC:1.-.-.-]
K11934	192.20	full	all	0.929336	574	274	434	220	5.66	0.590	outer membrane protein X
K11935	257.57	full	all	1.000000	610	508	1953	829	6.38	0.590	biofilm PGA synthesis protein PgaA
K11936	261.90	domain	all	0.759829	1722	1405	2302	499	9.93	0.590	poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
K11937	64.70	full	all	0.985381	540	373	450	244	5.31	0.590	biofilm PGA synthesis protein PgaD
K11938	315.10	full	all	1.000000	462	263	389	272	0.67	0.589	HMP-PP phosphatase [EC:3.6.1.-]
K11939	116.67	full	all	0.997047	3378	2885	1999	563	7.16	0.590	inner membrane transporter RhtA
K11940	80.67	domain	trim	0.992873	1597	1058	350	173	3.05	0.590	heat shock protein HspQ
K11941	172.23	full	all	1.000000	465	299	527	382	1.46	0.591	glucans biosynthesis protein C [EC:2.1.-.-]
K11942	953.07	full	all	0.999606	1301	1269	3034	1115	0.82	0.589	isobutyryl-CoA mutase [EC:5.4.99.13]
K11943	683.90	full	all	0.948718	25	20	518	452	0.82	0.592	PAH dioxygenase large subunit [EC:1.13.11.-]
K11944	209.83	full	all	0.849817	41	18	247	172	0.76	0.588	PAH dioxygenase small subunit [EC:1.13.11.-]
K11945	337.30	full	all	0.839516	78	71	371	301	1.60	0.590	extradiol dioxygenase [EC:1.13.11.-]
K11946	701.47	full	all	1.000000	16	10	363	342	0.43	0.588	hydratase-aldolase [EC:4.1.2.-]
K11947	578.10	domain	all	1.000000	24	18	512	488	0.89	0.590	aldehyde dehydrogenase [EC:1.2.1.-]
K11948	399.97	full	all	0.977778	25	23	445	366	1.14	0.589	1-hydroxy-2-naphthoate dioxygenase [EC:1.13.11.38]
K11949	404.43	full	all	0.974359	30	21	367	330	0.83	0.589	4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase [EC:4.1.2.34]
K11950	679.37	full	all	0.995556	125	113	499	456	0.76	0.589	bicarbonate transport system substrate-binding protein
K11951	446.90	full	all	0.995169	122	105	342	282	0.60	0.591	bicarbonate transport system permease protein
K11952	1184.63	full	all	0.946531	135	120	767	667	0.64	0.588	bicarbonate transport system ATP-binding protein [EC:7.3.2.-]
K11953	476.90	domain	all	0.780562	154	138	647	290	1.41	0.591	bicarbonate transport system ATP-binding protein [EC:7.3.2.-]
K11954	542.90	full	all	0.972544	147	132	683	431	1.84	0.590	neutral amino acid transport system substrate-binding protein
K11955	403.00	full	all	0.995885	136	122	612	370	0.83	0.590	neutral amino acid transport system permease protein
K11956	392.00	full	trim	0.877962	169	153	505	290	1.60	0.590	neutral amino acid transport system permease protein
K11957	392.17	domain	all	0.944805	150	134	329	259	0.97	0.589	neutral amino acid transport system ATP-binding protein
K11958	388.93	domain	all	0.928545	146	128	355	243	0.82	0.588	neutral amino acid transport system ATP-binding protein
K11959	277.03	full	trim	0.877270	3881	3404	1594	469	5.35	0.590	urea transport system substrate-binding protein
K11960	264.70	domain	trim	0.983580	3348	3018	1923	563	2.99	0.590	urea transport system permease protein
K11961	272.90	domain	all	0.931756	3324	2999	2475	458	2.87	0.590	urea transport system permease protein
K11962	356.63	domain	all	0.878794	3346	2888	2112	572	3.54	0.590	urea transport system ATP-binding protein
K11963	291.87	domain	all	0.925389	3655	3148	621	280	2.10	0.590	urea transport system ATP-binding protein
K11964	261.53	full	all	0.996778	2003	1552	3632	570	2.32	0.590	pellino [EC:2.3.2.27]
K11967	526.57	full	all	0.999316	750	732	5741	1077	1.73	0.590	ankyrin repeat and IBR domain-containing protein 1 [EC:2.3.2.31]
K11968	491.20	full	all	0.967172	1881	1584	4282	760	3.20	0.590	ariadne-1 [EC:2.3.2.31]
K11969	472.50	full	all	0.965402	864	674	2265	561	1.86	0.590	ariadne-2 [EC:2.3.2.31]
K11970	1665.90	domain	all	0.949391	501	499	5890	2527	1.15	0.590	cullin 9
K11971	175.10	domain	all	0.985719	1522	1448	5909	540	4.39	0.590	E3 ubiquitin-protein ligase RNF14 [EC:2.3.2.31]
K11972	929.17	full	all	0.880678	842	793	4125	844	1.41	0.589	E3 ubiquitin-protein ligase RNF19A [EC:2.3.2.31]
K11973	946.60	full	all	0.764526	704	684	2780	778	1.17	0.589	E3 ubiquitin-protein ligase RNF19B [EC:2.3.2.31]
K11974	352.30	full	all	1.000000	883	873	18650	1177	3.13	0.590	E3 ubiquitin-protein ligase RNF31 [EC:2.3.2.31]
K11975	184.60	full	all	0.981583	1719	1530	4544	421	3.46	0.590	E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
K11976	203.47	full	all	0.998100	811	792	8398	747	5.01	0.590	E3 ubiquitin-protein ligase RNF216 [EC:2.3.2.31]
K11977	239.93	domain	all	0.998907	486	459	2914	587	1.61	0.590	E3 ubiquitin-protein ligase RNF217 [EC:2.3.2.31]
K11978	388.53	domain	all	0.995655	820	810	13207	1801	2.26	0.590	E3 ubiquitin-protein ligase UBR3 [EC:2.3.2.27]
K11979	75.90	full	all	0.998441	1346	1281	4197	539	3.56	0.590	E3 ubiquitin-protein ligase UBR7 [EC:2.3.2.27]
K11980	82.67	domain	all	0.997145	1133	700	1511	206	2.19	0.590	E3 ubiquitin-protein ligase RNF11
K11981	169.00	domain	all	0.981840	921	590	1342	405	3.77	0.590	E3 ubiquitin-protein ligase NRDP1 [EC:2.3.2.27]
K11982	141.40	full	all	0.995079	3241	2950	6990	518	8.30	0.590	E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27]
K11983	140.30	full	all	0.998232	978	847	1234	335	2.41	0.590	E3 ubiquitin-protein ligase RNF182 [EC:2.3.2.27]
K11984	83.20	full	all	0.999574	1207	1172	6850	1010	5.75	0.590	U4/U6.U5 tri-snRNP-associated protein 1
K11985	97.13	domain	all	0.976423	1108	1076	4080	581	9.02	0.590	TRAF-interacting protein [EC:2.3.2.27]
K11986	458.27	full	all	0.987373	713	639	2783	616	1.68	0.590	ubiquitin carboxyl-terminal hydrolase 3 [EC:3.4.19.12]
K11987	1071.73	domain	all	0.921996	659	609	2139	705	1.24	0.590	prostaglandin-endoperoxide synthase 2 [EC:1.14.99.1]
K11988	738.17	full	all	0.863537	649	609	2579	619	2.72	0.589	sonic hedgehog
K11989	689.07	domain	all	0.863276	663	618	1827	501	2.66	0.590	indian hedgehog
K11990	613.80	full	all	0.900721	469	395	1748	501	3.29	0.590	desert hedgehog
K11991	168.23	full	all	0.945392	8922	7545	9846	658	14.11	0.590	tRNA(adenine34) deaminase [EC:3.5.4.33]
K11992	372.13	full	trim	0.975147	526	496	1471	388	2.03	0.590	acyl-CoA thioesterase 8 [EC:3.1.2.27]
K11993	711.40	domain	trim	0.853340	207	183	767	431	1.30	0.589	acyl-CoA thioesterase 6 [EC:3.1.2.-]
K11994	484.07	domain	all	0.752223	592	574	1857	482	4.07	0.590	deoxyribonuclease-1 [EC:3.1.21.1]
K11995	328.10	full	all	0.717805	1992	1944	4860	389	3.96	0.590	deoxyribonuclease-1-like protein [EC:3.1.21.-]
K11996	543.53	full	all	0.919287	1296	1259	4103	729	3.96	0.590	adenylyltransferase and sulfurtransferase [EC:2.7.7.80 2.8.1.11]
K11997	521.20	domain	all	0.945601	1854	1638	7175	1061	6.58	0.590	tripartite motif-containing protein 2/3
K11998	487.13	domain	all	0.995434	129	113	820	475	0.78	0.592	tripartite motif-containing protein 4 [EC:2.3.2.27]
K11999	799.90	full	trim	0.894391	405	384	1966	586	1.42	0.591	tripartite motif-containing protein 6/22/34
K12000	752.47	domain	trim	0.753113	538	500	3776	1015	3.54	0.590	tripartite motif-containing protein 7
K12001	338.33	full	all	0.995533	607	447	1790	600	1.23	0.590	tripartite motif-containing protein 8 [EC:2.3.2.27]
K12002	599.20	domain	all	0.993769	170	163	846	481	0.74	0.588	tripartite motif-containing protein 10
K12003	503.83	full	all	0.996579	501	440	1158	491	1.68	0.590	tripartite motif-containing protein 13 [EC:2.3.2.27]
K12004	294.87	domain	all	0.991642	307	303	1382	538	2.37	0.589	tripartite motif-containing protein 14
K12005	488.17	domain	all	0.980930	142	135	1173	512	1.71	0.590	tripartite motif-containing protein 15
K12006	510.73	domain	all	0.953049	461	457	2732	733	1.68	0.590	tripartite motif-containing protein 16 [EC:2.3.2.27]
K12007	789.80	domain	all	0.960950	156	147	1000	475	0.79	0.590	tripartite motif-containing protein 17 [EC:2.3.2.27]
K12008	381.43	domain	all	0.997245	206	183	1231	580	1.20	0.590	tripartite motif-containing protein 26
K12009	758.07	domain	all	0.932839	168	88	1066	512	1.31	0.590	tripartite motif-containing protein 27 [EC:2.3.2.27]
K12010	473.20	domain	all	1.000000	318	303	1456	597	0.92	0.589	tripartite motif-containing protein 29
K12011	385.03	domain	trim	0.940179	105	100	1236	614	1.97	0.590	tripartite motif-containing protein 31 [EC:2.3.2.27]
K12012	489.53	domain	all	0.972534	3782	3720	5747	582	2.66	0.590	tripartite motif-containing protein 35
K12013	928.60	domain	trim	0.962678	519	502	2101	800	1.57	0.589	tripartite motif-containing protein 36 [EC:2.3.2.27]
K12014	533.73	domain	all	0.897453	299	288	3986	592	2.83	0.590	tripartite motif-containing protein 38 [EC:2.3.2.27]
K12015	617.47	domain	all	0.811605	4494	4378	21276	1558	11.78	0.590	tripartite motif-containing protein 39 / bloodthirsty-related gene family protein [EC:2.3.2.27]
K12016	190.67	domain	all	0.996078	132	126	907	539	2.26	0.590	tripartite motif-containing protein 40
K12017	598.87	domain	all	0.974682	277	240	4293	1429	1.77	0.590	tripartite motif-containing protein 41 [EC:2.3.2.27]
K12018	262.37	domain	all	1.000000	290	278	1636	736	2.12	0.590	tripartite motif-containing protein 42
K12019	434.17	domain	trim	0.951894	762	714	3156	700	3.29	0.590	tripartite motif-containing protein 43/48/49/64/77
K12020	220.50	full	all	1.000000	382	353	1366	504	2.78	0.590	tripartite motif-containing protein 44
K12021	378.17	domain	all	0.989578	598	584	3800	736	3.29	0.590	tripartite motif-containing protein 45
K12022	975.47	full	all	0.987279	604	559	2525	886	1.04	0.591	tripartite motif-containing protein 46
K12023	813.67	domain	all	0.986394	305	298	3558	1154	1.48	0.589	tripartite motif-containing protein 47
K12024	440.47	domain	all	0.982532	365	348	1865	830	1.46	0.590	tripartite motif-containing protein 50/73/74
K12025	492.00	domain	all	0.844148	131	127	1137	544	1.84	0.589	tripartite motif-containing protein 52
K12026	448.00	full	all	0.986309	275	259	1672	771	3.27	0.590	tripartite motif-containing protein 56 [EC:2.3.2.27]
K12027	707.43	domain	all	0.923451	205	197	1557	1076	1.59	0.589	tripartite motif-containing protein 58 [EC:2.3.2.27]
